"YEAR";"MONTH";"DAY";"T";"T_NIGHT";"T_DAY";"SWDOWN";"LWDOWN";"VPD";"RAIN";"WIND";"RN";"TSOIL";"GF";"QLE";"QH";"NEE";"RECO";"GPP"
2000;1;1;22.39;20.422;24.055;253.957;380.425;7.032;1.489;1.884;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;4.20024;5.62277
2000;1;2;22.406;21.011;23.586;246.314;382.622;5.349;4.225;1.134;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;4.19716;6.47918
2000;1;3;21.97;20.94;22.841;213.181;387.47;3.643;4.526;1.347;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;4.11662;5.82737
2000;1;4;21.186;20.528;21.743;171.224;389.362;3.401;6.865;1.839;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;3.97683;5.39936
2000;1;5;20.799;19.871;21.585;186.617;386.884;3.407;4.23;2.095;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;3.91024;6.19226
2000;1;6;21.272;20.199;22.179;199.408;390.131;4.161;3.862;1.717;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;3.99457;5.70532
2000;1;7;21.357;20.391;22.175;205.586;385.374;3.677;4.485;1.314;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;4.00824;5.43077
2000;1;8;20.942;20.119;21.639;181.543;389.299;3.073;5.117;1.453;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;3.93527;6.21728
2000;1;9;21.332;20.404;22.116;179.722;398.587;4.241;5.435;1.966;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;4.0044;5.71515
2000;1;10;21.688;20.422;22.759;198.344;396.217;6.807;1.229;3.239;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;4.07006;5.49259
2000;1;11;21.385;20.317;22.289;205.525;390.997;5.731;2.57;2.999;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;4.0155;6.29752
2000;1;12;21.005;20.432;21.491;153.15;401.051;4.052;4.578;2.624;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;3.9469;5.65765
2000;1;13;20.77;20.167;21.24;143.207;402.064;3.152;7.589;2.786;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;3.90429;5.32682
2000;1;14;20.932;20.137;21.605;141.931;404.99;2.698;11.011;3.535;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;3.93251;6.21453
2000;1;15;20.753;19.87;21.44;154.307;394.526;3.709;5.623;4.216;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;3.90161;5.61236
2000;1;16;22.915;21.21;24.241;263.889;378.167;8.563;1.495;2.546;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;4.29364;5.71617
2000;1;17;22.268;19.808;24.182;243.78;376.756;9.014;0.118;1.327;-9999;-9999;-1.6553;58.5918;10.6391;-2.28202;4.18067;6.46269
2000;1;18;22.421;20.353;24.031;244.602;381.407;7.88;0.532;1.053;-9999;-9999;-13.1315;57.7583;12.4738;-1.71075;4.20406;5.91481
2000;1;19;20.741;19.649;21.59;221.543;383.563;3.575;5.908;1.769;-9999;-9999;-4.08091;77.3066;21.5158;-1.42253;3.9008;5.32333
